FAAM-ID,Title,Permalink,"Holding Institution","Score format","Score complexity","GitHub Image URL"
KCA-030902505335,"Gracioso: caprice de concert, op. 21",https://anet.be/record/opacdkvc/c:lvd:12959368/N,"Heritage Library Royal Conservatoire Antwerp","Polyphonic Parts","Mechanical print",https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-030902505335/images/
KCA-03090250578,"Le songe de l'avenir: valse",https://anet.be/record/opacdkvc/c:lvd:12959980/N,"Heritage Library Royal Conservatoire Antwerp","Polyphonic Parts","Mechanical print",https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-03090250578/images/
KCA-030901824620,"Alma redemptoris",https://anet.be/record/opacdkvc/c:lvd:7040005/N,"Heritage Library Royal Conservatoire Antwerp","Full Score","Mechanical print",https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-030901824620/images/
KCA-030903915962,"Zes Latijnse lofgeVoiceen : 2 en 3 gelijke stemmen",https://anet.be/record/opacdkvc/c:lvd:14737800/N,"Heritage Library Royal Conservatoire Antwerp",Parts,"Mechanical print",https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-030903915962/images/
KCA-030903770292,"Zes Latijnse lofgeVoiceen : 2 en 3 gelijke stemmen",https://anet.be/record/opacdkvc/c:lvd:14737800/N,"Heritage Library Royal Conservatoire Antwerp","Full Score","Mechanical print",https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-030903770292/images/
KCA-030902404505,"Missa ave Maria: ad duas voces aequales organo comitante",https://anet.be/record/opacdkvc/c:lvd:12868532/N,"Heritage Library Royal Conservatoire Antwerp","Full Score","Mechanical print",https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-030902404505/images/
KCA-030904711568,"Short festival Te Deum : for chorus and orchestra",https://anet.be/record/opacdkvc/c:lvd:15305966/N,"Heritage Library Royal Conservatoire Antwerp","Full Score","Mechanical print",https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-030904711568/images/
KCA-030902681235,"Le martyre de Saint Sébastien : mystère en cinq actes",https://anet.be/record/opacdkvc/c:lvd:13130720/N,"Heritage Library Royal Conservatoire Antwerp","Full Score","Mechanical print",https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-030902681235/images/
KCA-030902498960,"Les lettres",https://anet.be/record/opacdkvc/c:lvd:12981663/N,"Heritage Library Royal Conservatoire Antwerp","Full Score","Mechanical print",https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-030902498960/images/
KCA-030902499422,"Le chef d'armée = Il condotierro",https://anet.be/record/opacdkvc/c:lvd:12981585/N,"Heritage Library Royal Conservatoire Antwerp","Full Score","Mechanical print",https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-030902499422/images/
KCA-030902642195,"Le chef d'armée = Il condotierro",https://anet.be/record/opacdkvc/c:lvd:12981585/N,"Heritage Library Royal Conservatoire Antwerp","Full Score","Mechanical print",https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-030902642195/images/
KCA-030902582383,Sirotka,https://anet.be/record/opacdkvc/c:lvd:13105694/N,"Heritage Library Royal Conservatoire Antwerp","Full Score","Mechanical print",https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-030902582383/images/
KCA-030902700811,"Drie Songs",https://anet.be/record/opacdkvc/c:lvd:12863039/N,"Heritage Library Royal Conservatoire Antwerp","Full Score","Mechanical print",https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-030902700811/images/
KCA-030902700829,"Drie Songs",https://anet.be/record/opacdkvc/c:lvd:12863039/N,"Heritage Library Royal Conservatoire Antwerp","Full Score","Mechanical print",https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-030902700829/images/
KCA-030902700712,"O Maria die daar staat : lied voor sopraan of tenor",https://anet.be/record/opacdkvc/c:lvd:12858959/N,"Heritage Library Royal Conservatoire Antwerp","Full Score","Mechanical print",https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-030902700712/images/
KCA-030902642138,"Faun und Schäferin: liedercyklus für Gesang und Klavier, op. 2 = Le faune et la bergère: suite pour chant et piano, opus 2",https://anet.be/record/opacdkvc/c:lvd:12981801/N,"Heritage Library Royal Conservatoire Antwerp","Full Score","Mechanical print",https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-030902642138/images/
KCA-030903772819,"Beatrijs : sinfonisch poema",https://anet.be/record/opacdkvc/c:lvd:14539687/N,"Heritage Library Royal Conservatoire Antwerp","Polyphonic Parts","Manuscript sketch",https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-030903772819/images/
KCA-030903900642,"Beatrijs : sinfonisch poema",https://anet.be/record/opacdkvc/c:lvd:14539687/N,"Heritage Library Royal Conservatoire Antwerp","Polyphonic Parts","Manuscript sketch",https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-030903900642/images/
